track_id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
1o0kWPueYo94LIjPYOE5Nf,0.282,0.461,0.772,0.0,2,0.178,-3.98,0,0.375,167.018,0.414
3MWlVSkoLS1e66nlZ2tuWJ,0.536,0.595,0.416,0.0,10,0.293,-10.957,0,0.0366,74.556,0.185
4EndPA8b6FDWYp1RgsnLEB,0.306,0.419,0.581,6.3e-05,10,0.11,-5.964,0,0.0688,80.305,0.636
11qa6plS660rrrkf6VJ3cX,0.395,0.528,0.811,0.0,1,0.274,-6.181,1,0.59,70.58,0.26
5O59s7bCgTFsXDXlWecyQ1,0.605,0.802,0.544,0.0,5,0.102,-9.212,1,0.0686,133.992,0.57
46OFHBw45fNi7QNjSetITR,0.0593,0.583,0.754,0.0,7,0.113,-6.993,1,0.223,95.784,0.347
5xvXeuxISyXJDRbZZf4uzd,0.689,0.44,0.465,1.26e-06,3,0.384,-6.592,1,0.0318,126.937,0.241
3hd6zLhnTlbJ8PupYt3cAI,0.00632,0.161,0.327,0.792,1,0.138,-8.059,0,0.0341,135.382,0.0815
6j8gTlbhj9KJSeypNcNAS9,0.0287,0.644,0.487,0.0166,6,0.206,-9.654,1,0.034,125.528,0.467
5rmcjZTrE9JR1YrbNZDFNW,0.798,0.486,0.194,0.00624,2,0.114,-15.265,1,0.0712,70.031,0.048
1vvnYpYEMVB4aq9I6tHIEB,0.367,0.701,0.485,6.31e-05,11,0.0852,-10.305,0,0.364,78.863,0.496
34j4OxJxKznBs88cjSL2j9,0.423,0.459,0.816,0.0,11,0.169,-4.872,0,0.403,80.293,0.643
4mmkhcEm1Ljy1U9nwtsxUo,0.00865,0.571,0.739,5.21e-06,7,0.158,-6.11,1,0.247,83.089,0.66
5DBmXF7QO43Cuy9yqva116,0.139,0.744,0.524,0.0,1,0.392,-7.452,1,0.21,93.691,0.606
4jBfUB4kQJCWOrjGLQqhO0,0.143,0.682,0.51,4.46e-06,6,0.0797,-9.987,0,0.0441,120.097,0.191
6tjsbysvZh8Pq8DZA5ldrn,0.205,0.454,0.668,0.000841,6,0.0938,-5.821,0,0.03,85.994,0.168
2BuBXn15gj4MNYZydyWgrk,0.0487,0.874,0.485,0.0,0,0.299,-3.026,1,0.171,92.001,0.322
51EC3I1nQXpec4gDk0mQyP,0.113,0.402,0.527,8.48e-06,9,0.105,-6.737,0,0.0917,81.42,0.31
0MRZ9nMoLc7qQ8Nhovv8C8,0.141,0.53,0.661,0.00018,8,0.123,-5.507,1,0.083,122.482,0.149
2dz1JB89afkeSv509J5Po7,0.677,0.524,0.38,0.0,6,0.759,-9.048,0,0.371,90.264,0.248
1UGD3lW3tDmgZfAVDh6w7r,0.0175,0.435,0.76,0.0,8,0.158,-4.935,0,0.0721,80.082,0.206
19YKaevk2bce4odJkP5L22,0.692,0.633,0.395,0.000222,8,0.108,-9.638,1,0.0857,138.023,0.123
35xSkNIXi504fcEwz9USRB,0.85,0.469,0.289,2.48e-06,5,0.161,-10.625,0,0.0366,133.805,0.258
5GUYJTQap5F3RDQiCOJhrS,0.768,0.581,0.21,0.0,8,0.369,-10.426,1,0.0321,80.099,0.452
2LMkwUfqC6S6s6qDVlEuzV,0.77,0.501,0.0958,0.0,0,0.298,-15.605,1,0.0433,108.741,0.204
0xtIp0lgccN85GfGOekS5L,0.108,0.373,0.609,0.000427,0,0.0755,-7.0,1,0.0316,179.955,0.354
2e3Ea0o24lReQFR4FA7yXH,0.589,0.677,0.638,0.0,8,0.193,-8.631,1,0.333,82.81,0.435
7vgTNTaEz3CsBZ1N4YQalM,0.0969,0.573,0.545,0.0,7,0.329,-4.247,0,0.0288,83.378,0.297
3s7MCdXyWmwjdcWh7GWXas,0.376,0.669,0.419,0.0,1,0.187,-6.724,0,0.522,109.813,0.0397
2ej1A2Ze6P2EOW7KfIosZR,0.655,0.565,0.749,0.432,10,0.106,-6.629,0,0.0769,180.598,0.881
6eGMwVVABqVTe9bWRIm498,0.429,0.842,0.464,0.789,2,0.0978,-12.628,1,0.0418,93.966,0.771
4QhWbupniDd44EDtnh2bFJ,0.0118,0.4,0.65,7.62e-05,5,0.791,-6.104,0,0.0466,107.989,0.15
1fOkmYW3ZFkkjIdOZSf596,0.951,0.392,0.233,0.000322,11,0.106,-11.012,0,0.0587,176.569,0.494
4RVbK6cV0VqWdpCDcx3hiT,0.339,0.585,0.597,0.0404,0,0.195,-7.499,1,0.037,100.051,0.227
3GXSywNvYLAVUCtjMHkKDh,0.208,0.322,0.555,0.00437,11,0.325,-8.726,0,0.129,96.019,0.397
5nIu0VwPOsjkF61zfevLKh,0.0194,0.497,0.322,7.72e-06,8,0.115,-10.358,1,0.0333,106.976,0.04
4MbUcaX58NkUmKXe6FuBaV,0.238,0.725,0.726,0.00243,1,0.265,-7.446,1,0.233,101.807,0.568
3DK6m7It6Pw857FcQftMds,0.219,0.374,0.568,0.00219,1,0.513,-3.825,0,0.109,84.733,0.111
0sCtBy5i9pZUwMq3Il1O4U,0.454,0.717,0.568,0.00342,0,0.159,-9.328,1,0.425,166.042,0.355
2AZZvIAll2lG6zWApWzCx0,0.224,0.541,0.424,0.941,9,0.227,-11.081,1,0.0304,128.032,0.211
06u5LrUpbosQlQ1QJFhPpG,0.491,0.577,0.523,0.0,0,0.147,-5.538,0,0.0429,134.93,0.29
2LXtyj95dK56ENS1QLt4IB,0.983,0.669,0.0809,0.41,0,0.114,-17.282,1,0.0365,114.355,0.0922
6ocxCGYgcmZhCeTT1yuNkt,0.813,0.495,0.505,2.01e-06,7,0.117,-10.034,1,0.409,173.612,0.657
3BUWNzPWz2mDbptZmGEXpB,0.0218,0.551,0.562,0.0,11,0.302,-6.862,1,0.163,135.872,0.438
35YyxFpE0ZTOoqFx5bADW8,0.832,0.516,0.342,0.579,4,0.0857,-9.785,1,0.0342,128.378,0.167
1ygITaWckccPnbVE2nadrz,0.00331,0.744,0.876,0.0,1,0.0675,-3.285,0,0.273,85.442,0.842
4J7s7j5ulwElPG7HaGQDXR,0.847,0.158,0.131,0.00232,7,0.107,-16.277,0,0.0289,87.096,0.0397
15WbjBy1bzH1UsUldBwwlW,0.964,0.493,0.372,0.0308,7,0.117,-11.889,1,0.0331,116.86,0.25
3weHnt82LuCTMa2AnZFM78,0.974,0.356,0.201,0.000273,6,0.108,-12.289,0,0.0388,130.688,0.18
6pnwfWyaWjQiHCKTiZLItr,0.772,0.264,0.294,0.686,7,0.107,-11.941,0,0.028,137.937,0.0402
2ihoQNPyX4AAeMB9f3uw0j,0.203,0.413,0.753,0.0204,6,0.647,-7.692,0,0.188,85.899,0.471
6dmqnKIOvBfqjP317AT2tT,0.968,0.544,0.347,0.237,0,0.115,-15.504,0,0.0432,119.862,0.501
35KiiILklye1JRRctaLUb4,0.943,0.374,0.304,0.298,1,0.126,-14.52,1,0.0302,147.969,0.147
3QbsrWxq3JyNov94VzbNdB,0.0892,0.639,0.894,0.0,7,0.881,-2.047,0,0.272,81.97,0.535
1BViPjTT585XAhkUUrkts0,0.975,0.377,0.253,0.000259,4,0.101,-11.155,0,0.0387,125.403,0.367
5wJC8qlivbwAx29bnTecSn,0.145,0.498,0.625,0.00481,0,0.113,-10.678,1,0.325,129.779,0.403
26G5nmIx7Yvq79bIIluyZV,0.947,0.762,0.054,0.0,2,0.124,-16.735,0,0.0503,96.838,0.339
0joQFwiBKmi6X1Iq5R1ubH,0.168,0.745,0.617,0.0,6,0.389,-7.22,0,0.144,125.98,0.185
3YnwIp2b99p3e5dsFTXIIx,0.768,0.622,0.229,0.00906,1,0.134,-11.322,1,0.0445,81.87,0.0998
6dFn6my1sHK2bcf23GlHwM,0.77,0.533,0.496,0.000164,6,0.0969,-9.363,0,0.517,155.158,0.173
0EA2RhRHL4KWeNa7JfD1Yw,0.812,0.576,0.556,0.125,0,0.0943,-6.474,1,0.231,148.173,0.294
7qgVP1RmTu8Kg3MGsIl87D,0.0367,0.291,0.486,0.225,7,0.148,-5.313,1,0.038,130.187,0.166
0bhBtXHQX3u6dSAPF59qGx,0.929,0.448,0.143,0.0356,11,0.109,-17.012,1,0.0328,132.829,0.0873
7jJH5jAOUvR0FxkbYBmAQA,0.928,0.39,0.128,0.00227,2,0.271,-15.872,1,0.0518,103.057,0.172
2nilAlGEZmwyaLTMMyDdLo,0.487,0.669,0.613,0.176,4,0.132,-11.12,0,0.036,110.668,0.566
20AC70RUlVz6A6dCcQ5tRS,0.979,0.676,0.0812,0.416,2,0.118,-22.846,1,0.0398,125.075,0.314
0jBmIDMdIOOct8T62qBeRh,0.75,0.62,0.307,0.00269,11,0.0845,-11.929,1,0.0288,99.97,0.133
2rtGaCAeYtmcIvuZsvgTf6,0.316,0.167,0.302,0.797,6,0.11,-11.644,0,0.0345,102.026,0.19
371H6HjS4SXGbQ9IVfFUIL,0.588,0.681,0.333,0.0,9,0.086,-8.582,1,0.0974,118.05,0.564
